,category,section,method,method_url,question
29,DataFrame,"Indexing, iteration",pandas.DataFrame.itertuples,api/pandas.DataFrame.itertuples.html#pandas.DataFrame.itertuples,Iterate over DataFrame rows as namedtuples.
30,DataFrame,"Indexing, iteration",pandas.DataFrame.pop,api/pandas.DataFrame.pop.html#pandas.DataFrame.pop,Return item and drop from frame.
31,DataFrame,"Indexing, iteration",pandas.DataFrame.tail,api/pandas.DataFrame.tail.html#pandas.DataFrame.tail,Return the last n rows.
32,DataFrame,"Indexing, iteration",pandas.DataFrame.xs,api/pandas.DataFrame.xs.html#pandas.DataFrame.xs,Return cross-section from the Series/DataFrame.
33,DataFrame,"Indexing, iteration",pandas.DataFrame.get,api/pandas.DataFrame.get.html#pandas.DataFrame.get,Get item from object for given key (ex: DataFrame column).
34,DataFrame,"Indexing, iteration",pandas.DataFrame.isin,api/pandas.DataFrame.isin.html#pandas.DataFrame.isin,Whether each element in the DataFrame is contained in values.
35,DataFrame,"Indexing, iteration",pandas.DataFrame.where,api/pandas.DataFrame.where.html#pandas.DataFrame.where,Replace values where the condition is False.
36,DataFrame,"Indexing, iteration",pandas.DataFrame.mask,api/pandas.DataFrame.mask.html#pandas.DataFrame.mask,Replace values where the condition is True.
37,DataFrame,"Indexing, iteration",pandas.DataFrame.query,api/pandas.DataFrame.query.html#pandas.DataFrame.query,Query the columns of a DataFrame with a boolean expression.
38,DataFrame,Binary operator functions,pandas.DataFrame.__add__,api/pandas.DataFrame.__add__.html#pandas.DataFrame.__add__,"Get Addition of DataFrame and other, column-wise."
39,DataFrame,Binary operator functions,pandas.DataFrame.add,api/pandas.DataFrame.add.html#pandas.DataFrame.add,"Get Addition of dataframe and other, element-wise (binary operator add)."
40,DataFrame,Binary operator functions,pandas.DataFrame.sub,api/pandas.DataFrame.sub.html#pandas.DataFrame.sub,"Get Subtraction of dataframe and other, element-wise (binary operator sub)."
41,DataFrame,Binary operator functions,pandas.DataFrame.mul,api/pandas.DataFrame.mul.html#pandas.DataFrame.mul,"Get Multiplication of dataframe and other, element-wise (binary operator mul)."
42,DataFrame,Binary operator functions,pandas.DataFrame.div,api/pandas.DataFrame.div.html#pandas.DataFrame.div,"Get Floating division of dataframe and other, element-wise (binary operator truediv)."
43,DataFrame,Binary operator functions,pandas.DataFrame.truediv,api/pandas.DataFrame.truediv.html#pandas.DataFrame.truediv,"Get Floating division of dataframe and other, element-wise (binary operator truediv)."
44,DataFrame,Binary operator functions,pandas.DataFrame.floordiv,api/pandas.DataFrame.floordiv.html#pandas.DataFrame.floordiv,"Get Integer division of dataframe and other, element-wise (binary operator floordiv)."
45,DataFrame,Binary operator functions,pandas.DataFrame.mod,api/pandas.DataFrame.mod.html#pandas.DataFrame.mod,"Get Modulo of dataframe and other, element-wise (binary operator mod)."
46,DataFrame,Binary operator functions,pandas.DataFrame.pow,api/pandas.DataFrame.pow.html#pandas.DataFrame.pow,"Get Exponential power of dataframe and other, element-wise (binary operator pow)."
47,DataFrame,Binary operator functions,pandas.DataFrame.dot,api/pandas.DataFrame.dot.html#pandas.DataFrame.dot,Compute the matrix multiplication between the DataFrame and other.
48,DataFrame,Binary operator functions,pandas.DataFrame.radd,api/pandas.DataFrame.radd.html#pandas.DataFrame.radd,"Get Addition of dataframe and other, element-wise (binary operator radd)."
49,DataFrame,Binary operator functions,pandas.DataFrame.rsub,api/pandas.DataFrame.rsub.html#pandas.DataFrame.rsub,"Get Subtraction of dataframe and other, element-wise (binary operator rsub)."
50,DataFrame,Binary operator functions,pandas.DataFrame.rmul,api/pandas.DataFrame.rmul.html#pandas.DataFrame.rmul,"Get Multiplication of dataframe and other, element-wise (binary operator rmul)."
51,DataFrame,Binary operator functions,pandas.DataFrame.rdiv,api/pandas.DataFrame.rdiv.html#pandas.DataFrame.rdiv,"Get Floating division of dataframe and other, element-wise (binary operator rtruediv)."
52,DataFrame,Binary operator functions,pandas.DataFrame.rtruediv,api/pandas.DataFrame.rtruediv.html#pandas.DataFrame.rtruediv,"Get Floating division of dataframe and other, element-wise (binary operator rtruediv)."
53,DataFrame,Binary operator functions,pandas.DataFrame.rfloordiv,api/pandas.DataFrame.rfloordiv.html#pandas.DataFrame.rfloordiv,"Get Integer division of dataframe and other, element-wise (binary operator rfloordiv)."
54,DataFrame,Binary operator functions,pandas.DataFrame.rmod,api/pandas.DataFrame.rmod.html#pandas.DataFrame.rmod,"Get Modulo of dataframe and other, element-wise (binary operator rmod)."
55,DataFrame,Binary operator functions,pandas.DataFrame.rpow,api/pandas.DataFrame.rpow.html#pandas.DataFrame.rpow,"Get Exponential power of dataframe and other, element-wise (binary operator rpow)."
56,DataFrame,Binary operator functions,pandas.DataFrame.lt,api/pandas.DataFrame.lt.html#pandas.DataFrame.lt,"Get Less than of dataframe and other, element-wise (binary operator lt)."
57,DataFrame,Binary operator functions,pandas.DataFrame.gt,api/pandas.DataFrame.gt.html#pandas.DataFrame.gt,"Get Greater than of dataframe and other, element-wise (binary operator gt)."
58,DataFrame,Binary operator functions,pandas.DataFrame.le,api/pandas.DataFrame.le.html#pandas.DataFrame.le,"Get Less than or equal to of dataframe and other, element-wise (binary operator le)."
59,DataFrame,Binary operator functions,pandas.DataFrame.ge,api/pandas.DataFrame.ge.html#pandas.DataFrame.ge,"Get Greater than or equal to of dataframe and other, element-wise (binary operator ge)."
60,DataFrame,Binary operator functions,pandas.DataFrame.ne,api/pandas.DataFrame.ne.html#pandas.DataFrame.ne,"Get Not equal to of dataframe and other, element-wise (binary operator ne)."
61,DataFrame,Binary operator functions,pandas.DataFrame.eq,api/pandas.DataFrame.eq.html#pandas.DataFrame.eq,"Get Equal to of dataframe and other, element-wise (binary operator eq)."
62,DataFrame,Binary operator functions,pandas.DataFrame.combine,api/pandas.DataFrame.combine.html#pandas.DataFrame.combine,Perform column-wise combine with another DataFrame.
63,DataFrame,Binary operator functions,pandas.DataFrame.combine_first,api/pandas.DataFrame.combine_first.html#pandas.DataFrame.combine_first,Update null elements with value in the same location in other.
64,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.apply,api/pandas.DataFrame.apply.html#pandas.DataFrame.apply,Apply a function along an axis of the DataFrame.
65,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.map,api/pandas.DataFrame.map.html#pandas.DataFrame.map,Apply a function to a Dataframe elementwise.
67,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.pipe,api/pandas.DataFrame.pipe.html#pandas.DataFrame.pipe,Apply chainable functions that expect Series or DataFrames.
68,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.agg,api/pandas.DataFrame.agg.html#pandas.DataFrame.agg,Aggregate using one or more operations over the specified axis.
69,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.aggregate,api/pandas.DataFrame.aggregate.html#pandas.DataFrame.aggregate,Aggregate using one or more operations over the specified axis.
70,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.transform,api/pandas.DataFrame.transform.html#pandas.DataFrame.transform,Call func on self producing a DataFrame with the same axis shape as self.
71,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.groupby,api/pandas.DataFrame.groupby.html#pandas.DataFrame.groupby,Group DataFrame using a mapper or by a Series of columns.
72,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.rolling,api/pandas.DataFrame.rolling.html#pandas.DataFrame.rolling,Provide rolling window calculations.
73,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.expanding,api/pandas.DataFrame.expanding.html#pandas.DataFrame.expanding,Provide expanding window calculations.
74,DataFrame,"Function application, GroupBy & window",pandas.DataFrame.ewm,api/pandas.DataFrame.ewm.html#pandas.DataFrame.ewm,Provide exponentially weighted (EW) calculations.
75,DataFrame,Computations / descriptive stats,pandas.DataFrame.abs,api/pandas.DataFrame.abs.html#pandas.DataFrame.abs,Return a Series/DataFrame with absolute numeric value of each element.
76,DataFrame,Computations / descriptive stats,pandas.DataFrame.all,api/pandas.DataFrame.all.html#pandas.DataFrame.all,"Return whether all elements are True, potentially over an axis."
77,DataFrame,Computations / descriptive stats,pandas.DataFrame.any,api/pandas.DataFrame.any.html#pandas.DataFrame.any,"Return whether any element is True, potentially over an axis."
78,DataFrame,Computations / descriptive stats,pandas.DataFrame.clip,api/pandas.DataFrame.clip.html#pandas.DataFrame.clip,Trim values at input threshold(s).
79,DataFrame,Computations / descriptive stats,pandas.DataFrame.corr,api/pandas.DataFrame.corr.html#pandas.DataFrame.corr,"Compute pairwise correlation of columns, excluding NA/null values."
80,DataFrame,Computations / descriptive stats,pandas.DataFrame.corrwith,api/pandas.DataFrame.corrwith.html#pandas.DataFrame.corrwith,Compute pairwise correlation.
81,DataFrame,Computations / descriptive stats,pandas.DataFrame.count,api/pandas.DataFrame.count.html#pandas.DataFrame.count,Count non-NA cells for each column or row.
82,DataFrame,Computations / descriptive stats,pandas.DataFrame.cov,api/pandas.DataFrame.cov.html#pandas.DataFrame.cov,"Compute pairwise covariance of columns, excluding NA/null values."
83,DataFrame,Computations / descriptive stats,pandas.DataFrame.cummax,api/pandas.DataFrame.cummax.html#pandas.DataFrame.cummax,Return cumulative maximum over a DataFrame or Series axis.
84,DataFrame,Computations / descriptive stats,pandas.DataFrame.cummin,api/pandas.DataFrame.cummin.html#pandas.DataFrame.cummin,Return cumulative minimum over a DataFrame or Series axis.
85,DataFrame,Computations / descriptive stats,pandas.DataFrame.cumprod,api/pandas.DataFrame.cumprod.html#pandas.DataFrame.cumprod,Return cumulative product over a DataFrame or Series axis.
86,DataFrame,Computations / descriptive stats,pandas.DataFrame.cumsum,api/pandas.DataFrame.cumsum.html#pandas.DataFrame.cumsum,Return cumulative sum over a DataFrame or Series axis.
87,DataFrame,Computations / descriptive stats,pandas.DataFrame.describe,api/pandas.DataFrame.describe.html#pandas.DataFrame.describe,Generate descriptive statistics.
88,DataFrame,Computations / descriptive stats,pandas.DataFrame.diff,api/pandas.DataFrame.diff.html#pandas.DataFrame.diff,First discrete difference of element.
89,DataFrame,Computations / descriptive stats,pandas.DataFrame.eval,api/pandas.DataFrame.eval.html#pandas.DataFrame.eval,Evaluate a string describing operations on DataFrame columns.
90,DataFrame,Computations / descriptive stats,pandas.DataFrame.kurt,api/pandas.DataFrame.kurt.html#pandas.DataFrame.kurt,Return unbiased kurtosis over requested axis.
91,DataFrame,Computations / descriptive stats,pandas.DataFrame.kurtosis,api/pandas.DataFrame.kurtosis.html#pandas.DataFrame.kurtosis,Return unbiased kurtosis over requested axis.
92,DataFrame,Computations / descriptive stats,pandas.DataFrame.max,api/pandas.DataFrame.max.html#pandas.DataFrame.max,Return the maximum of the values over the requested axis.
93,DataFrame,Computations / descriptive stats,pandas.DataFrame.mean,api/pandas.DataFrame.mean.html#pandas.DataFrame.mean,Return the mean of the values over the requested axis.
94,DataFrame,Computations / descriptive stats,pandas.DataFrame.median,api/pandas.DataFrame.median.html#pandas.DataFrame.median,Return the median of the values over the requested axis.
95,DataFrame,Computations / descriptive stats,pandas.DataFrame.min,api/pandas.DataFrame.min.html#pandas.DataFrame.min,Return the minimum of the values over the requested axis.
96,DataFrame,Computations / descriptive stats,pandas.DataFrame.mode,api/pandas.DataFrame.mode.html#pandas.DataFrame.mode,Get the mode(s) of each element along the selected axis.
97,DataFrame,Computations / descriptive stats,pandas.DataFrame.pct_change,api/pandas.DataFrame.pct_change.html#pandas.DataFrame.pct_change,Fractional change between the current and a prior element.
98,DataFrame,Computations / descriptive stats,pandas.DataFrame.prod,api/pandas.DataFrame.prod.html#pandas.DataFrame.prod,Return the product of the values over the requested axis.
99,DataFrame,Computations / descriptive stats,pandas.DataFrame.product,api/pandas.DataFrame.product.html#pandas.DataFrame.product,Return the product of the values over the requested axis.
100,DataFrame,Computations / descriptive stats,pandas.DataFrame.quantile,api/pandas.DataFrame.quantile.html#pandas.DataFrame.quantile,Return values at the given quantile over requested axis.
101,DataFrame,Computations / descriptive stats,pandas.DataFrame.rank,api/pandas.DataFrame.rank.html#pandas.DataFrame.rank,Compute numerical data ranks (1 through n) along axis.
102,DataFrame,Computations / descriptive stats,pandas.DataFrame.round,api/pandas.DataFrame.round.html#pandas.DataFrame.round,Round a DataFrame to a variable number of decimal places.
103,DataFrame,Computations / descriptive stats,pandas.DataFrame.sem,api/pandas.DataFrame.sem.html#pandas.DataFrame.sem,Return unbiased standard error of the mean over requested axis.
104,DataFrame,Computations / descriptive stats,pandas.DataFrame.skew,api/pandas.DataFrame.skew.html#pandas.DataFrame.skew,Return unbiased skew over requested axis.
105,DataFrame,Computations / descriptive stats,pandas.DataFrame.sum,api/pandas.DataFrame.sum.html#pandas.DataFrame.sum,Return the sum of the values over the requested axis.
106,DataFrame,Computations / descriptive stats,pandas.DataFrame.std,api/pandas.DataFrame.std.html#pandas.DataFrame.std,Return sample standard deviation over requested axis.
107,DataFrame,Computations / descriptive stats,pandas.DataFrame.var,api/pandas.DataFrame.var.html#pandas.DataFrame.var,Return unbiased variance over requested axis.
108,DataFrame,Computations / descriptive stats,pandas.DataFrame.nunique,api/pandas.DataFrame.nunique.html#pandas.DataFrame.nunique,Count number of distinct elements in specified axis.
109,DataFrame,Computations / descriptive stats,pandas.DataFrame.value_counts,api/pandas.DataFrame.value_counts.html#pandas.DataFrame.value_counts,Return a Series containing the frequency of each distinct row in the Dataframe.
110,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.add_prefix,api/pandas.DataFrame.add_prefix.html#pandas.DataFrame.add_prefix,Prefix labels with string prefix.
111,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.add_suffix,api/pandas.DataFrame.add_suffix.html#pandas.DataFrame.add_suffix,Suffix labels with string suffix.
112,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.align,api/pandas.DataFrame.align.html#pandas.DataFrame.align,Align two objects on their axes with the specified join method.
113,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.at_time,api/pandas.DataFrame.at_time.html#pandas.DataFrame.at_time,"Select values at particular time of day (e.g., 9:30AM)."
114,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.between_time,api/pandas.DataFrame.between_time.html#pandas.DataFrame.between_time,"Select values between particular times of the day (e.g., 9:00-9:30 AM)."
115,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.drop,api/pandas.DataFrame.drop.html#pandas.DataFrame.drop,Drop specified labels from rows or columns.
116,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.drop_duplicates,api/pandas.DataFrame.drop_duplicates.html#pandas.DataFrame.drop_duplicates,Return DataFrame with duplicate rows removed.
117,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.duplicated,api/pandas.DataFrame.duplicated.html#pandas.DataFrame.duplicated,Return boolean Series denoting duplicate rows.
118,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.equals,api/pandas.DataFrame.equals.html#pandas.DataFrame.equals,Test whether two objects contain the same elements.
119,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.filter,api/pandas.DataFrame.filter.html#pandas.DataFrame.filter,Subset the dataframe rows or columns according to the specified index labels.
121,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.head,api/pandas.DataFrame.head.html#pandas.DataFrame.head,Return the first n rows.
122,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.idxmax,api/pandas.DataFrame.idxmax.html#pandas.DataFrame.idxmax,Return index of first occurrence of maximum over requested axis.
123,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.idxmin,api/pandas.DataFrame.idxmin.html#pandas.DataFrame.idxmin,Return index of first occurrence of minimum over requested axis.
125,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.reindex,api/pandas.DataFrame.reindex.html#pandas.DataFrame.reindex,Conform DataFrame to new index with optional filling logic.
126,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.reindex_like,api/pandas.DataFrame.reindex_like.html#pandas.DataFrame.reindex_like,Return an object with matching indices as other object.
127,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.rename,api/pandas.DataFrame.rename.html#pandas.DataFrame.rename,Rename columns or index labels.
128,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.rename_axis,api/pandas.DataFrame.rename_axis.html#pandas.DataFrame.rename_axis,Set the name of the axis for the index or columns.
129,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.reset_index,api/pandas.DataFrame.reset_index.html#pandas.DataFrame.reset_index,"Reset the index, or a level of it."
130,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.sample,api/pandas.DataFrame.sample.html#pandas.DataFrame.sample,Return a random sample of items from an axis of object.
131,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.set_axis,api/pandas.DataFrame.set_axis.html#pandas.DataFrame.set_axis,Assign desired index to given axis.
132,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.set_index,api/pandas.DataFrame.set_index.html#pandas.DataFrame.set_index,Set the DataFrame index using existing columns.
133,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.tail,api/pandas.DataFrame.tail.html#pandas.DataFrame.tail,Return the last n rows.
134,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.take,api/pandas.DataFrame.take.html#pandas.DataFrame.take,Return the elements in the given positional indices along an axis.
135,DataFrame,Reindexing / selection / label manipulation,pandas.DataFrame.truncate,api/pandas.DataFrame.truncate.html#pandas.DataFrame.truncate,Truncate a Series or DataFrame before and after some index value.
137,DataFrame,Missing data handling,pandas.DataFrame.bfill,api/pandas.DataFrame.bfill.html#pandas.DataFrame.bfill,Fill NA/NaN values by using the next valid observation to fill the gap.
138,DataFrame,Missing data handling,pandas.DataFrame.dropna,api/pandas.DataFrame.dropna.html#pandas.DataFrame.dropna,Remove missing values.
139,DataFrame,Missing data handling,pandas.DataFrame.ffill,api/pandas.DataFrame.ffill.html#pandas.DataFrame.ffill,Fill NA/NaN values by propagating the last valid observation to next valid.
140,DataFrame,Missing data handling,pandas.DataFrame.fillna,api/pandas.DataFrame.fillna.html#pandas.DataFrame.fillna,Fill NA/NaN values using the specified method.
141,DataFrame,Missing data handling,pandas.DataFrame.interpolate,api/pandas.DataFrame.interpolate.html#pandas.DataFrame.interpolate,Fill NaN values using an interpolation method.
142,DataFrame,Missing data handling,pandas.DataFrame.isna,api/pandas.DataFrame.isna.html#pandas.DataFrame.isna,Detect missing values.
143,DataFrame,Missing data handling,pandas.DataFrame.isnull,api/pandas.DataFrame.isnull.html#pandas.DataFrame.isnull,DataFrame.isnull is an alias for DataFrame.isna.
144,DataFrame,Missing data handling,pandas.DataFrame.notna,api/pandas.DataFrame.notna.html#pandas.DataFrame.notna,Detect existing (non-missing) values.
145,DataFrame,Missing data handling,pandas.DataFrame.notnull,api/pandas.DataFrame.notnull.html#pandas.DataFrame.notnull,DataFrame.notnull is an alias for DataFrame.notna.
147,DataFrame,Missing data handling,pandas.DataFrame.replace,api/pandas.DataFrame.replace.html#pandas.DataFrame.replace,Replace values given in to_replace with value.
